Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineCategory,Grapes
Saint-Est%C3%A8phe,France,Saint-Est%C3%A8phe,Ch%C3%A2teau+Petit+Bocq,4.0,148,39.95,2005,red,assente
Dolcetto+d%27Alba,Italy,Dolcetto+d%27Alba,Cordero+di+Montezemolo,3.9,148,14.54,2018,red,Dolcetto
Les+Terrasses+Velles+Vinyes+Priorat,Spain,Priorat,%C3%81lvaro+Palacios,4.2,1482,28.71,2016,red,assente
Brunello+di+Montalcino,Italy,Brunello+di+Montalcino,Casanova+di+Neri,4.4,1483,44.52,2014,red,Brunello
Crozes-Hermitage+Les+Meysonniers,France,Crozes-Hermitage,M.+Chapoutier,3.9,1486,22.22,2017,red,assente
Valpolicella,Italy,Valpolicella,Tommasi,3.5,1487,9.16,2017,red,assente
Tenuta+Nuova+Brunello+di+Montalcino,Italy,Brunello+di+Montalcino,Casanova+di+Neri,4.4,1488,75.18,2011,red,Brunello
Single+Vineyard+Tempranillo,Spain,La+Mancha,Volver,4.0,1489,15.7,2016,red,Tempranillo
Single+Vineyard+Release+St.+Andrews+Cabernet+Sauvignon,Australia,Clare+Valley,Taylors+%2F+Wakefield,4.0,149,21.82,2016,red,Andre
Crianza,Spain,Rioja+Alta,Tar%C3%B3n,3.6,149,8.99,2016,red,assente
Saint-%C3%89milion+Grand+Cru+%28Grand+Cru+Class%C3%A9%29,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Destieux,3.9,149,53.92,2007,red,assente
Vosne-Roman%C3%A9e,France,Vosne-Roman%C3%A9e,Domaine+Arnoux-Lachaux,4.0,149,91.77,2014,red,assente
Gevrey-Chambertin+Vieilles+Vignes,France,Gevrey-Chambertin,Fr%C3%A9d%C3%A9ric+Magnien,4.1,149,46.79,2016,red,assente
Lalande-de-Pomerol,France,Lalande-de-Pomerol,Ch%C3%A2teau+de+Bel-Air,3.9,149,29.15,2016,red,assente
Pinotage,South+Africa,Stellenbosch,Zonnebloem,3.7,149,8.29,2018,red,Pinotage
Brunello+di+Montalcino+Riserva,Italy,Brunello+di+Montalcino,Poggio+di+Sotto,4.7,149,270.63,2010,red,Brunello
Pino+Doncel+Vintage,Spain,Jumilla,Bleda,3.6,149,5.99,2014,red,assente
Ses+Nines+Selecci%C3%B3+07%2F9,Spain,Binissalem-Mallorca,Tianna+Negre,4.0,149,19.99,2016,red,assente
Valley+Oaks+Cabernet+Sauvignon,United+States,California,Fetzer,3.7,149,8.53,2018,red,Cabernet+Sauvignon
Pomerol,France,Pomerol,Ch%C3%A2teau+Le+Gay,4.5,149,189.95,2005,red,assente
Sor%C3%AC+Tild%C3%ACn+%28Barbaresco%29+Langhe,Italy,Langhe,Gaja,4.5,149,450.0,2013,red,assente
Toscana+Rosso,Italy,Toscana,Altesino,3.9,149,11.0,2018,red,assente
Lagrein,Italy,S%C3%BCdtirol+-+Alto+Adige,Alois+Lageder,3.6,149,13.4,2017,red,Lagrein
Lu+Rappaio+Primitivo+di+Manduria,Italy,Primitivo+di+Manduria,Masca+del+Tacco,4.2,1490,11.95,2017,red,Primitivo
Riscal+Tempranillo,Spain,Castilla+y+Le%C3%B3n,Marqu%C3%A9s+de+Riscal,3.4,1491,7.45,2017,red,Tempranillo
Albe+Barolo,Italy,Barolo,G.D.+Vajra,3.9,1494,50.67,2015,red,assente
Ch%C3%A2teauneuf-du-Pape,France,Ch%C3%A2teauneuf-du-Pape,Ch%C3%A2teau+de+Beaucastel,4.4,1497,95.53,2009,red,assente
Domaine+de+Valmoissine+Pinot+Noir,France,Var,Louis+Latour,3.8,1498,11.89,2016,red,Pinot+Noir
Chianti+Classico,Italy,Chianti+Classico,Casaloste,3.8,150,16.95,2016,red,assente
Tenuta+Sant%27Alfonso+Chianti+Classico,Italy,Chianti+Classico,Rocca+delle+Mac%C3%ACe,3.8,150,13.55,2017,red,assente
Ant%C3%A9+Barbera+d%27Asti+Superiore,Italy,Barbera+d%27Asti,Tenimenti+Ca%27Bianca,3.8,150,6.95,2017,red,Barbera
Via+Edetana+Tinto,Spain,Terra+Alta,Edet%C3%A0ria,3.9,150,13.15,2017,red,assente
Toscana+Brunito,Italy,Toscana,Cantina+di+Montalcino,3.7,150,8.9,2018,red,assente
Le+Luc%C3%A9re+Brunello+di+Montalcino,Italy,Brunello+di+Montalcino,San+Filippo,4.2,150,48.45,2011,red,Brunello
Paso+a+Paso+Tempranillo,Spain,Castilla,Volver,3.6,150,6.97,2018,red,Tempranillo
Collectors+Reserve+The+Promenade+Pinotage,South+Africa,Cape+Town,Durbanville+Hills,4.2,150,19.99,2017,red,Pinotage
Brunello+di+Montalcino+Vigneto+Manachiara,Italy,Brunello+di+Montalcino,Tenute+Silvio+Nardi,4.2,150,91.25,2012,red,Brunello
J%C2%B2+Gau-Odernheimer+Sp%C3%A4tburgunder,Germany,Rheinhessen,Becker+Landgraf,4.0,150,12.19,2017,red,assente
Corbi%C3%A8res,France,Corbi%C3%A8res,Ch%C3%A2teau+d%E2%80%99Aussi%C3%A8res,3.8,150,25.16,2016,red,assente
Givry+1er+Cru+Clos+du+%27Cellier+Aux+Moines%27,France,Givry+1er+Cru+%27Cellier+aux+Moines%27,Domaine+Th%C3%A9nard,4.1,150,27.04,2014,red,assente
R+de+Romaneira,Portugal,Douro,Quinta+da+Romaneira,3.8,150,11.35,2016,red,assente
Castel+Firmian+Lagrein+Riserva,Italy,Trentino,Mezzacorona,3.9,150,10.91,2016,red,Lagrein
Pomerol,France,Pomerol,Ch%C3%A2teau+La+Grave+%28Trigant+de+Boisset%29,4.1,150,48.54,2012,red,assente
Saint-%C3%89milion+Grand+Cru+%28Premier+Grand+Cru+Class%C3%A9%29,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Belair-Monange,4.3,150,159.0,2009,red,assente
Saint-%C3%89milion+Grand+Cru+%28Premier+Grand+Cru+Class%C3%A9%29,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Belair-Monange,4.4,150,115.0,2012,red,assente
Riposato+Rosso+Veneto,Italy,Veneto,Corte+Giona,3.7,150,7.48,2013,red,assente
Villa+Donoratico+Bolgheri,Italy,Bolgheri,Tenuta+Argentiera,4.1,1500,18.4,2016,red,assente
Alexander+%28The+Great%29,Spain,Ribera+del+Duero,Casa+Rojo,4.1,1504,27.25,2015,red,Alexander
Reserva+Cabernet+Sauvignon+%28Classic%29,Chile,Colchagua+Valley,Montes,3.7,1506,6.34,2018,red,Cabernet+Sauvignon
Sergio+Zingarelli+Chianti+Classico+Gran+Selezione,Italy,Chianti+Classico,Rocca+delle+Mac%C3%ACe,4.0,151,58.39,2013,red,assente
Pomerol,France,Pomerol,Ch%C3%A2teau+Certan+de+May,4.3,151,95.53,2012,red,assente
Series+M,South+Africa,Paarl,Vilafont%C3%A9,4.4,151,57.07,2016,red,assente
Grans+Muralles,Spain,Conca+de+Barber%C3%A0,Torres,4.4,151,79.0,2011,red,assente
Sir,Turkey,Thrace,Suvla,3.9,151,25.0,2013,red,assente
Crianza,Spain,Valencia,Finca+Enguera,3.7,151,5.5,2015,red,assente
Tinto,Spain,Dominio+de+Valdepusa,Lesegut,3.6,151,9.4,2013,red,assente
Brunello+di+Montalcino+Riserva,Italy,Brunello+di+Montalcino,Biondi-Santi,4.4,151,476.67,2006,red,Brunello
Ch%C3%A2teau+du+Rocher+Saint-%C3%89milion+Grand+Cru,France,Saint-%C3%89milion+Grand+Cru,Baron+de+Montfort,3.2,151,17.95,2011,red,assente
Vi%C3%B1a+Arana+Reserva,Spain,Rioja,La+Rioja+Alta,4.0,151,18.99,2012,red,assente
Chianti+Pontormo,Italy,Chianti,Castelli+del+Grevepesa,3.7,151,8.49,2018,red,assente
Pinot+Noir,Israel,Galilee,Yarden,3.9,151,27.71,2016,red,Pinot+Noir
Crozes-Hermitage+Rouge,France,Crozes-Hermitage,E.+Guigal,3.8,151,17.81,2017,red,assente
Coteaux+Bourguignons,France,Coteaux+Bourguignons,Joseph+Drouhin,3.6,151,11.31,2016,red,assente
Merlot,South+Africa,Western+Cape,Fleur+du+Cap,3.6,151,9.9,2016,red,Merlot
Reserva,Spain,Rioja,Altos+Ib%C3%A9ricos,3.9,151,11.48,2014,red,assente
Puro+Grape+Selection+Malbec,Argentina,Mendoza,Dieter+Meier,4.2,151,32.9,2016,red,Malbec
Reserva+Rioja,Spain,Rioja,Lan,3.8,151,12.45,2014,red,assente
Margaux+%28Grand+Cru+Class%C3%A9%29,France,Margaux,Ch%C3%A2teau+Giscours,4.1,1514,75.0,2008,red,assente
Gor%C3%BA,Spain,Jumilla,EGO,3.9,1515,6.7,2017,red,assente
La+Segreta+Il+Rosso,Italy,Sicilia,Planeta,3.5,1516,7.59,2016,red,assente
Primitivo+Salento+Pil%C3%B9na,Italy,Salento,Castello+Monaci,3.9,1517,6.9,2017,red,Primitivo
Ch%C3%A2teauneuf-du-Pape,France,Ch%C3%A2teauneuf-du-Pape,Ch%C3%A2teau+de+Beaucastel,4.4,1517,79.0,2016,red,assente
Pinot+Nero+Fuchsleiten,Italy,S%C3%BCdtirol+-+Alto+Adige,Pfitscher,3.6,152,15.28,2017,red,assente
Anticaia+Salice+Salentino+Riserva,Italy,Salice+Salentino,San+Donaci,4.0,152,6.9,2016,red,assente
Roda+Reserva+Rioja,Spain,Rioja,Bodegas+Roda,3.9,152,25.9,2016,red,assente
Tal%C3%B2+Negroamaro,Italy,Salento,San+Marzano,3.8,152,9.89,2018,red,Negroamaro
The+Gimblett,New+Zealand,Gimblett+Gravels,Trinity+Hill,3.8,152,31.5,2013,red,assente
Rocca+Guicciarda+Chianti+Classico+Riserva,Italy,Chianti+Classico,Ricasoli,3.8,152,16.9,2017,red,assente
Pinot+Noir,New+Zealand,Marlborough,Mount+Riley,3.7,152,11.6,2018,red,Pinot+Noir
Mavum+Corvina+-+Cabernet+Sauvignon,Italy,Veneto,Maurizio+B+Martino+MBM,3.6,152,7.19,2015,red,Cabernet+Sauvignon
Fantini+Collection+Red+Blend,Italy,Ortona,Farnese,3.8,152,9.39,2016,red,assente
Villa+Romanu+Tinto,Portugal,Alentejano,Herdade+do+Perdig%C3%A3o,3.4,152,6.43,2015,red,assente
Pannobile,Austria,Burgenland,Heinrich,3.7,152,22.71,2016,red,assente
Solaz+Shiraz+-+Tempranillo,Spain,Castilla,Osborne,3.6,152,5.81,2018,red,Shiraz
The+Coppermine+Road+Cabernet+Sauvignon,Australia,McLaren+Vale,d%27Arenberg,3.8,152,47.98,2013,red,Cabernet+Sauvignon
Ars+In+Vitro,Spain,Navarra,Bodega+Tandem,3.5,152,8.49,2012,red,assente
Fronsac,France,Fronsac,Ch%C3%A2teau+Moulin+Haut-Laroque,3.8,152,19.45,2007,red,assente
Leg%C3%ADtimo,Portugal,Douro,Conceito,3.7,152,12.9,2016,red,assente
Altos+R+Pigeage,Spain,Rioja,Altos+de+Rioja,4.2,152,33.0,2010,red,assente
Pinotage,South+Africa,Stellenbosch,Laibach,4.0,152,15.26,2016,red,Pinotage
Sp%C3%A4tburgunder,Germany,Baden,Fritz+Wa%C3%9Fmer,3.7,152,6.0,2015,red,assente
Lam%C3%B9ri+Nero+d%27Avola+Regaleali,Italy,Terre+Siciliane,Tasca+d%27Almerita,3.7,1520,10.45,2017,red,Nero+d%27Avola
Cabernet+Sauvignon,United+States,California,Dark+Horse,3.7,1521,7.36,2018,red,Cabernet+Sauvignon
Moulis-en-M%C3%A9doc,France,Moulis-en-M%C3%A9doc,Ch%C3%A2teau+Chasse-Spleen,4.1,1528,48.95,2005,red,assente
Grand+Terroir+Pic+Saint+Loup+Syrah+-+Grenache+-+Mourvedre,France,Pic-Saint-Loup,G%C3%A9rard+Bertrand,3.8,153,12.99,2018,red,Grenache
Pomerol,France,Pomerol,Ch%C3%A2teau+Lafleur-Gazin,4.2,153,45.5,2015,red,assente
Ch%C3%A2teauneuf-du-Pape+Boisrenard,France,Ch%C3%A2teauneuf-du-Pape,Domaine+de+Beaurenard,4.4,153,59.0,2016,red,assente
Ripa+della+Volta+Amarone+della+Valpolicella,Italy,Amarone+della+Valpolicella,Ottella,4.3,153,37.9,2015,red,assente
Moulis-en-M%C3%A9doc,France,Moulis-en-M%C3%A9doc,Ch%C3%A2teau+Dutruch+Grand+Poujeaux,3.7,153,17.35,2013,red,assente
Nero+d%27Avola+Sicilia,Italy,Sicilia,Feudo+Arancio,3.6,153,6.25,2018,red,Nero+d%27Avola
Cameron+Vale+Cabernet+Sauvignon,Australia,Barossa,Grant+Burge,3.6,153,17.45,2016,red,Cabernet+Sauvignon
Pomerol,France,Pomerol,Ch%C3%A2teau+Latour+%C3%A0+Pomerol,4.1,153,103.42,2014,red,assente
Valpolicella+Ripasso+Classico+Superiore,Italy,Valpolicella+Ripasso,Le+Ragose,3.9,153,9.56,2008,red,assente
Sabbie+di+Sopra+al+Bosco,Italy,Terre+del+Volturno,Nanni+Cop%C3%A9,3.9,153,32.14,2013,red,Bosco
Merlot+-+Corvina,Italy,Veneto,Corte+Giara,3.4,153,6.45,2016,red,Merlot
Sodale+Merlot,Italy,Lazio,Falesco,3.8,153,19.39,2016,red,Merlot
RS+Sp%C3%A4tburgunder,Germany,Baden,Salwey,3.6,153,19.95,2014,red,assente
Seaward+Pinotage,South+Africa,Coastal+Region,Spier,3.7,153,13.55,2017,red,Pinotage
Pinot+Noir,United+States,Russian+River+Valley,MacMurray,3.9,1532,27.32,2016,red,Pinot+Noir
Cos+d%27Estournel,France,Saint-Est%C3%A8phe,Cos+d%27Estournel,4.4,1534,165.0,2008,red,assente
Rosso,Italy,Terre+Siciliane,Corvo,3.7,1536,6.58,2017,red,assente
Cos+d%27Estournel,France,Saint-Est%C3%A8phe,Cos+d%27Estournel,4.3,1539,129.0,2007,red,assente
Shymer+Syrah+-+Merlot,Italy,Terre+Siciliane,Baglio+di+Pianetto,3.8,154,10.63,2015,red,Merlot
M%C3%A9doc,France,M%C3%A9doc,Ch%C3%A2teau+Clos+du+Moulin,3.7,154,13.8,2015,red,assente
Cabernet+Sauvignon,Argentina,Tupungato,Altosur,3.5,154,8.49,2015,red,Cabernet+Sauvignon
Castillo+Ygay+Gran+Reserva+Especial+Tinto,Spain,Rioja,Marqu%C3%A9s+de+Murrieta,4.1,154,98.95,2010,red,assente
Barbera+d%27Asti+La+Crena,Italy,Barbera+d%27Asti,Vietti,4.2,154,36.9,2016,red,Barbera
Barolo,Italy,Barolo,Prunotto,4.2,154,39.95,2016,red,assente
Cabernet+Sauvignon,United+States,Monterey,Craftwork,3.9,154,14.99,2016,red,Cabernet+Sauvignon
Morandina+Valpolicella,Italy,Valpolicella,Pr%C3%A0,3.6,154,14.9,2017,red,assente
Goul%C3%A9e+by+Cos+d%E2%80%99Estournel,France,M%C3%A9doc,Cos+d%27Estournel,3.7,154,39.95,2005,red,assente
Kai+Carmen%C3%A8re,Chile,Aconcagua+Valley,Errazuriz,4.3,154,125.74,2015,red,assente
Saint-%C3%89milion+Baron+Carl,France,Saint-%C3%89milion,Baron+Philippe+de+Rothschild,4.0,154,25.13,2015,red,assente
Les+Gravi%C3%A8res+Chinon,France,Chinon,Couly-Dutheil,3.5,154,12.49,2017,red,assente
Bandol,France,Bandol,Ch%C3%A2teau+Pradeaux,3.9,154,26.95,2014,red,assente
Saint-%C3%89milion+Grand+Cru+%28Premier+Grand+Cru+Class%C3%A9%29,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Pavie,4.2,154,269.1,2013,red,assente
Barrancas+Vineyards+Alta+Syrah,Argentina,Mendoza,Pascual+Toso,4.3,154,34.54,2014,red,Syrah
The+Butcher+Blaufr%C3%A4nkisch,Austria,Burgenland,Schwarz,3.9,154,25.5,2018,red,Blaufr%C3%A4nkisch
Finca+Mu%C3%B1oz+Limited+Release+Barrel+Aged,Spain,Castilla,Munoz,3.9,154,6.99,2015,red,assente
Reserva+Carmen%C3%A8re,Chile,Colchagua+Valley,TerraNoble,3.6,154,9.9,2015,red,assente
Cabernet+Sauvignon,South+Africa,Paarl,Plaisir+de+Merle,4.0,154,14.49,2015,red,Cabernet+Sauvignon
Barolo+Castiglione,Italy,Barolo,Vietti,4.1,1541,43.55,2013,red,Castiglione
Ribera+del+Duero+Red,Spain,Ribera+del+Duero,Montecastro,4.0,1542,47.77,2014,red,assente
Big+John+Cuv%C3%A9e+Reserve,Austria,Burgenland,Scheiblhofer,4.2,1546,19.2,2017,red,assente
Barolo+Villero,Italy,Barolo,Giacomo+Fenocchio,4.2,155,35.84,2011,red,assente
6+Meses+Roble+Tempranillo,Spain,La+Mancha,Finca+La+Estacada,3.6,155,7.36,2018,red,Tempranillo
Garnacha+Vi%C3%B1as+Viejas,Spain,Valdejal%C3%B3n,Botijo+Rojo,3.7,155,12.62,2015,red,assente
Clos+Font%C3%A0+Priorat,Spain,Priorat,Mas+d%27en+Gil,4.3,155,60.41,2014,red,assente
Cirerets,Spain,Priorat,Bodegas+Mas+Alta,4.1,155,38.8,2016,red,assente
C%C3%A8dre+H%C3%A9ritage+Malbec,France,Cahors,Ch%C3%A2teau+du+C%C3%A8dre,3.6,155,8.4,2016,red,Malbec
Saint-%C3%89milion+Grand+Cru+%28Grand+Cru+Class%C3%A9%29,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+La+Couspaude,4.3,155,125.74,2000,red,assente
Chianti+Classico+Riserva+Il+Poggio,Italy,Chianti+Classico,Castello+di+Monsanto,4.0,155,42.63,2013,red,assente
Valdeorras+Mencia+Gaba+do+Xil,Spain,Valdeorras,Telmo+Rodriguez,3.4,155,9.95,2017,red,Mencia
Vertunno+Chianti+dei+Colli+Senesi+Riserva,Italy,Chianti+Colli+Senesi,Panizzi,3.8,155,12.14,2013,red,assente
Adrianna+Vineyard+Fortuna+Terrae+Malbec,Argentina,Mendoza,Catena+Zapata,4.5,155,89.9,2015,red,Malbec
Emeritvs+%28Emeritus%29,Spain,Dominio+de+Valdepusa,Marqu%C3%A9s+de+Gri%C3%B1on,4.2,155,68.0,2011,red,assente
Signatures+Single+Vineyard+Collection+Malbec,South+Africa,Wellington,Doolhof+Wine+Estate,3.9,155,17.5,2017,red,Malbec
Cabernet+Sauvignon,Australia,Barossa+Valley,Schild+Estate,3.9,155,15.9,2016,red,Cabernet+Sauvignon
Laf%C3%B3a+Cabernet+Sauvignon,Italy,S%C3%BCdtirol+-+Alto+Adige,Colterenzio+%28Schreckbichl%29,4.3,155,58.0,2015,red,Cabernet+Sauvignon
Edici%C3%B3n+Limitada+M,Chile,Colchagua+Valley,Caliterra,3.9,155,16.27,2015,red,assente
Moulis,France,Moulis-en-M%C3%A9doc,Ch%C3%A2teau+Branas+Grand+Poujeaux,4.1,156,37.9,2012,red,assente
Portrait+Cabernet+Sauvignon,Australia,Barossa,Peter+Lehmann,3.7,156,9.6,2016,red,Cabernet+Sauvignon
Saint-Amour,France,Saint-Amour,Terres+Dor%C3%A9es,3.8,156,18.5,2017,red,assente
Saint-Julien+%28Grand+Cru+Class%C3%A9%29,France,Saint-Julien,Ch%C3%A2teau+L%C3%A9oville+Las+Cases,4.6,156,238.83,2015,red,assente
Single+Valley+Lot+Gran+Reserva+Carmen%C3%A8re,Chile,Colchagua+Valley,Valdivieso,3.8,156,14.57,2018,red,assente
Saint-Est%C3%A8phe,France,Saint-Est%C3%A8phe,Ch%C3%A2teau+Le+Boscq,3.7,156,28.9,2013,red,assente
MUAC,Spain,Mallorca,Terra+de+Falanis,3.6,156,10.95,2015,red,assente
Cellar+Selection+Cabernet+Sauvignon,South+Africa,Stellenbosch,Kleine+Zalze,3.3,156,10.95,2018,red,Cabernet+Sauvignon
V%C3%BCrs%C3%B9+Barolo+Camp%C3%A8,Italy,Barolo,La+Spinetta,4.3,156,97.38,2010,red,assente
Dedicato+a+Walter+Bolgheri+Superiore,Italy,Bolgheri+Superiore,Poggio+Al+Tesoro,4.5,156,89.0,2015,red,assente
Benchmark+Cabernet+Sauvignon,Australia,South+Australia,Grant+Burge,3.4,156,8.5,2017,red,Cabernet+Sauvignon
Terroir+du+Trias+Bandol+Rouge,France,Bandol,Domaine+de+Terrebrune,4.0,156,32.9,2014,red,assente
Tributo+Syrah,Chile,Colchagua+Valley,Caliterra,3.7,156,10.71,2012,red,Syrah
Rouge,France,C%C3%B4tes+Catalanes,Domaine+de+l%27Horizon,3.8,156,40.16,2008,red,assente
Valpolicella+Ripasso+Superiore,Italy,Valpolicella+Ripasso,Casa+Vinicola+Bennati,3.8,156,14.31,2014,red,assente
Lalande-de-Pomerol,France,Lalande-de-Pomerol,Ch%C3%A2teau+de+Bel-Air,3.9,156,28.83,2015,red,assente
Walking+Tree+Cabernet+Sauvignon,United+States,Alexander+Valley,Geyser+Peak,3.7,156,21.0,2013,red,Cabernet+Sauvignon
Saint-%C3%89milion+Grand+Cru+%28Premier+Grand+Cru+Class%C3%A9%29,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Cheval+Blanc,4.5,156,592.4,2014,red,assente
Sito+Moresco+Langhe,Italy,Langhe,Gaja,4.1,1561,41.9,2016,red,assente
Pinot+Noir,New+Zealand,South+Island,Kim+Crawford,3.6,1565,15.9,2015,red,Pinot+Noir
Rouge+%28Gaston+Hochar%29,Lebanon,Bekaa+Valley,Ch%C3%A2teau+Musar,4.2,1566,35.04,2002,red,assente
Lytton+Springs,United+States,Dry+Creek+Valley,Ridge+Vineyards,4.2,1568,41.85,2016,red,assente
Malbec+Estate,Argentina,Calchaqui+Valley,Colom%C3%A9,4.0,1568,15.03,2017,red,Malbec
Nobile+di+Montepulciano,Italy,Vino+Nobile+di+Montepulciano,Salcheto,3.9,1569,17.3,2015,red,Montepulciano
Pinot+Noir,Germany,Baden,Heitlinger,3.7,157,12.49,2016,red,Pinot+Noir
Castel+Firmian+Nerofino,Italy,Trentino,Mezzacorona,3.8,157,6.95,2016,red,assente
Cartagho,Italy,Terre+Siciliane,Mandrarossa,3.7,157,13.47,2017,red,assente
Saint-%C3%89milion+Grand+Cru,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Pindefleurs,4.2,157,30.95,2016,red,assente
Reserva+Cabernet+Sauvignon,Chile,Colchagua+Valley,Caliterra,3.4,157,6.99,2018,red,Cabernet+Sauvignon
Moulis-en-M%C3%A9doc,France,Moulis-en-M%C3%A9doc,Ch%C3%A2teau+Dutruch+Grand+Poujeaux,3.7,157,24.63,2015,red,assente
Castro+Ventosa+El+Castro+de+Valtuille,Spain,Bierzo,Ra%C3%BAl+P%C3%A9rez,3.7,157,17.9,2015,red,assente
Crianza,Spain,Binissalem-Mallorca,Bodegas+Jos%C3%A9+L.+Ferrer,3.6,157,10.49,2016,red,assente
Taita+Marchig%C3%BCe+Vineyard+Cabernet+Sauvignon,Chile,Colchagua+Valley,Montes,4.6,157,239.0,2011,red,Cabernet+Sauvignon
Villa+Gresti,Italy,Vigneti+delle+Dolomiti,San+Leonardo,3.9,157,25.5,2014,red,assente
Cabernet+Sauvignon,South+Africa,Franschhoek,Anthonij+Rupert,4.3,157,59.95,2012,red,Cabernet+Sauvignon
M%C3%A9doc,France,M%C3%A9doc,Ch%C3%A2teau+La+Cardonne,3.7,157,20.5,2012,red,assente
Cabernet+Sauvignon,South+Africa,Stellenbosch,Alto+Estate,4.1,157,17.75,2014,red,Cabernet+Sauvignon
Pinot+Noir,France,Pays+d%27Oc,La+Chevali%C3%A8re,3.6,157,7.89,2018,red,Pinot+Noir
Merlot+%28Carm%C3%A9n%C3%A8re+-+Syrah%29,Chile,Rapel+Valley,Trio,3.7,1570,11.47,2016,red,Merlot
6th+Sense+Syrah,United+States,Lodi,Michael+David+Winery,3.9,1571,14.82,2013,red,Syrah
Reserva,Spain,Rioja,Hacienda+L%C3%B3pez+de+Haro,3.7,1573,12.79,2014,red,assente
Saint-Est%C3%A8phe+%28Grand+Cru+Class%C3%A9%29,France,Saint-Est%C3%A8phe,Ch%C3%A2teau+Montrose,4.2,1574,109.0,2007,red,assente
Saint-Est%C3%A8phe+%28Grand+Cru+Class%C3%A9%29,France,Saint-Est%C3%A8phe,Ch%C3%A2teau+Montrose,4.4,1578,174.95,2005,red,assente
Director%27s+Cut+Zinfandel,United+States,Dry+Creek+Valley,Francis+Ford+Coppola,4.0,1578,33.25,2014,red,Zinfandel
Gevrey-Chambertin,France,Gevrey-Chambertin,Louis+Latour,4.1,158,51.55,2013,red,assente
Antu+Cabernet+Sauvignon+-+Carmen%C3%A8re,Chile,Colchagua+Valley,MontGras,4.0,158,11.9,2018,red,Cabernet+Sauvignon
Sassabruna+Maremma+Toscana,Italy,Maremma+Toscana,Rocca+di+Montemassi,3.8,158,12.5,2017,red,assente
Saint-%C3%89milion+Grand+Cru+%28Grand+Cru+Class%C3%A9%29,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Fonroque,4.0,158,48.95,2016,red,assente
Series+M,South+Africa,Paarl,Vilafont%C3%A9,4.4,158,51.41,2015,red,assente
Montepulciano+d%27Abruzzo,Italy,Montepulciano+d%27Abruzzo,Collefrisio,3.8,158,13.95,2013,red,Montepulciano
M%C3%A9doc,France,M%C3%A9doc,Clos+Manou,3.9,158,27.9,2015,red,assente
Selecci%C3%B3n+La+Aguilera,Spain,Ribera+del+Duero,Dominio+de+Cair,4.1,158,18.99,2015,red,assente
Freestone-Occidental+Pinot+Noir,United+States,Sonoma+Coast,Occidental,4.4,158,69.0,2015,red,Pinot+Noir
Reserva+Carmen%C3%A8re,Chile,Rapel+Valley,Santa+Rita,3.5,158,9.65,2018,red,assente
Impossible+Red,South+Africa,Paarl,Laborie,3.8,158,8.21,2018,red,assente
Lamaione+Toscana,Italy,Toscana,Tenuta+CastelGiocondo,4.1,158,57.51,2013,red,assente
Vendemmia+d%27Artista+La+Tensione,Italy,Bolgheri+Superiore,Ornellaia,4.5,158,212.49,2016,red,assente
La+Baraja,Spain,Ribera+del+Duero,Bodegas+Vilano,4.6,158,31.5,2016,red,assente
La+Montesa,Spain,Rioja,Palacios+Remondo,3.9,158,14.13,2017,red,assente
Gazur,Spain,Ribera+del+Duero,Telmo+Rodriguez,3.4,158,9.95,2018,red,assente
Vino+Nobile+di+Montepulciano,Italy,Vino+Nobile+di+Montepulciano,Avignonesi,3.9,1582,19.39,2015,red,Montepulciano
Crianza+Ribera+del+Duero,Spain,Ribera+del+Duero,Condado+de+Haza,3.8,1582,14.5,2016,red,assente
Castello+di+Brolio+Gran+Selezione+Chianti+Classico,Italy,Chianti+Classico,Ricasoli,4.1,1588,41.0,2013,red,assente
Cabernet+-+Merlot,Australia,Adelaide+Hills,Tempus+Two,3.6,159,10.41,2017,red,Merlot
Rioja+Gran+Reserva,Spain,Rioja,Castillo+Clavijo,3.9,159,17.78,2011,red,assente
M%C3%A9thode+Ancienne+Cabernet+Sauvignon,South+Africa,Robertson,Springfield+Estate,4.2,159,39.95,2013,red,Cabernet+Sauvignon
MXI+Selecci%C3%B3n+de+Barricas,Spain,Ribera+del+Duero,Tinto+Pesquera,3.9,159,36.0,2016,red,assente
Saint-%C3%89milion+Grand+Cru,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Barrail+du+Blanc,3.8,159,27.71,2015,red,assente
Hussonet+Cabernet+Sauvignon+Gran+Reserva,Chile,Maipo+Valley,Haras+de+Pirque,3.5,159,15.49,2018,red,Cabernet+Sauvignon
Syrah,South+Africa,Franschhoek,Anthonij+Rupert,4.1,159,59.95,2013,red,Syrah
C%C3%B4tes+du+Rh%C3%B4ne+Rouge,France,C%C3%B4tes-du-Rh%C3%B4ne,Domaine+Roche+Audran,3.8,159,9.9,2017,red,assente
